Accuracy,Precision_W,Recall_W,F1_W,F1_Macro,Cohen_Kappa,Unknown_Rate,F1_Urgent,Prec_Urgent,Rec_Urgent,F1_Routine,Prec_Routine,Rec_Routine,F1_Self-care,Prec_Self-care,Rec_Self-care,Latency_Mean,Latency_Std,Latency_P95,Avg_LLM_Calls,System,Acc_CI_Lo,Acc_CI_Hi,F1W_CI_Lo,F1W_CI_Hi
0.9266666666666666,0.930695533159139,0.9266666666666666,0.9265035702433333,0.9265035702433333,0.89,0.0,0.9345794392523364,0.8771929824561403,1.0,0.8865979381443299,0.9148936170212766,0.86,0.9583333333333334,1.0,0.92,1.4973725684483845,0.37922545702994176,1.718852174282074,1.0,S1_Raw_LLM,0.8865000000000002,0.9666666666666667,0.8850453618554741,0.9666446289459102
0.8733333333333333,0.8833201479012719,0.8733333333333333,0.8712215144737269,0.8712215144737269,0.81,0.0,0.8849557522123894,0.7936507936507936,1.0,0.7912087912087912,0.8780487804878049,0.72,0.9375,0.9782608695652174,0.9,1.9664416519800823,0.4665945914831877,2.3228190779685964,1.0,S2_RAG_Only,0.8133333333333334,0.92,0.8125823660441885,0.9200150848456777
0.9066666666666666,0.9100432900432901,0.9066666666666666,0.9060966144787903,0.9060966144787903,0.86,0.0,0.9433962264150944,0.8928571428571429,1.0,0.86,0.86,0.86,0.9148936170212766,0.9772727272727273,0.86,1.8377571551005045,0.22569857412070732,2.2314682722091668,1.0,S3_BM25_Only,0.86,0.9466666666666667,0.8570645321846483,0.9466969698223545
0.8733333333333333,0.8874007936507936,0.8733333333333333,0.8725703404363514,0.8725703404363515,0.81,0.0,0.8771929824561403,0.78125,1.0,0.8043478260869565,0.8809523809523809,0.74,0.9361702127659575,1.0,0.88,1.8825728352864584,0.2876316139336419,2.292807149887085,1.0,S4_Hybrid_RAG,0.8133333333333334,0.92,0.8139183559317421,0.920487606838881
0.9266666666666666,0.930695533159139,0.9266666666666666,0.9265035702433333,0.9265035702433333,0.89,0.0,0.9345794392523364,0.8771929824561403,1.0,0.8865979381443299,0.9148936170212766,0.86,0.9583333333333334,1.0,0.92,2.0690985822677614,0.336146297459762,2.401465654373169,2.0,S5_LLM_Gate,0.8865000000000002,0.9666666666666667,0.8850453618554741,0.9666446289459102
0.76,0.8009259259259259,0.76,0.7464721658270045,0.7464721658270045,0.64,0.0,0.7692307692307693,0.625,1.0,0.5454545454545454,0.7777777777777778,0.42,0.9247311827956989,1.0,0.86,3.5383584022521974,0.3454893149354098,4.17847455739975,3.0,S6_Gate_Evaluator,0.6866666666666666,0.82,0.6679949555299071,0.8134826120560767
0.8866666666666667,0.8967241810452613,0.8866666666666667,0.8858099549950146,0.8858099549950144,0.83,0.0,0.8928571428571429,0.8064516129032258,1.0,0.8172043010752689,0.8837209302325582,0.76,0.9473684210526315,1.0,0.9,4.536808164914449,3.305164587580826,6.341346931457516,3.1866666666666665,S7_Full_Hybrid,0.8331666666666668,0.9334999999999999,0.827969166365811,0.9341466383981658
0.7266666666666667,0.7786596119929453,0.7266666666666667,0.71405122352632,0.71405122352632,0.5900000000000001,0.0,0.746268656716418,0.5952380952380952,1.0,0.5194805194805194,0.7407407407407407,0.4,0.8764044943820225,1.0,0.78,3.852091884613037,0.34476711840030994,4.418495714664458,3.0,A1_Full_no_Dense,0.6533333333333333,0.8,0.6327610501733106,0.7880835498259162
0.74,0.7874698795180722,0.74,0.7238632813918855,0.7238632813918855,0.6100000000000001,0.0,0.7518796992481203,0.6024096385542169,1.0,0.5066666666666667,0.76,0.38,0.9130434782608695,1.0,0.84,3.9829774777094524,0.42169602718338284,4.8597852110862725,3.0,A2_Full_no_BM25,0.6666666666666666,0.8066666666666666,0.637125386576,0.7961542296964715
0.8733333333333333,0.8874007936507936,0.8733333333333333,0.8725703404363514,0.8725703404363515,0.81,0.0,0.8771929824561403,0.78125,1.0,0.8043478260869565,0.8809523809523809,0.74,0.9361702127659575,1.0,0.88,2.4912017583847046,0.29006881431542186,2.9622503757476806,2.0,A3_Full_no_Eval,0.8133333333333334,0.92,0.8139183559317421,0.920487606838881
0.7066666666666667,0.7579010137149672,0.7066666666666667,0.6908715639365794,0.6908715639365793,0.56,0.0,0.7352941176470589,0.5813953488372093,1.0,0.47368421052631576,0.6923076923076923,0.36,0.8636363636363636,1.0,0.76,3.9307326300938925,0.38201580731189216,4.492056035995482,3.0,A4_Full_topk3,0.6266666666666667,0.7733333333333333,0.6034754485620022,0.7648732507295894
0.6933333333333334,0.737008326155613,0.6933333333333334,0.6758090906163928,0.6758090906163928,0.54,0.0,0.7352941176470589,0.5813953488372093,1.0,0.44155844155844154,0.6296296296296297,0.34,0.8505747126436781,1.0,0.74,4.238567263285319,2.137044758453651,5.081679153442379,3.0,A5_Full_topk10,0.6133333333333333,0.76,0.5886253103076408,0.7496378549476695
