Condition,Accuracy,Δ Acc,F1_W,Δ F1,F1_Macro,Latency,Δ Latency,Unknown%
Full System,0.8866666666666667,0.0,0.8858099549950146,0.0,0.8858099549950144,4.536808164914449,0.0,0.0
− Dense RAG,0.7266666666666667,-0.16000000000000003,0.71405122352632,-0.17175873146869458,0.71405122352632,3.852091884613037,-0.6847162803014117,0.0
− BM25,0.74,-0.14666666666666672,0.7238632813918855,-0.1619466736031291,0.7238632813918855,3.9829774777094524,-0.5538306872049965,0.0
− Evaluator,0.8733333333333333,-0.01333333333333342,0.8725703404363514,-0.013239614558663182,0.8725703404363515,2.4912017583847046,-2.0456064065297443,0.0
top-k = 3,0.7066666666666667,-0.18000000000000005,0.6908715639365794,-0.19493839105843513,0.6908715639365793,3.9307326300938925,-0.6060755348205564,0.0
top-k = 10,0.6933333333333334,-0.19333333333333336,0.6758090906163928,-0.21000086437862175,0.6758090906163928,4.238567263285319,-0.2982409016291303,0.0
